Customer_ID,Age,Gender,Location,Annual_Income,Browsing_Time_per_Week_Hours,Purchase_Frequency_Per_Month,Impact_of_Dynamic_Pricing_on_Purchase,Perception_of_Amazon_Revenue_Growth_due_to_Dynamic_Pricing,Perception_of_Competition_in_Amazon_Marketplace,Likely_to_Recommend_Amazon_Based_on_Pricing
2608,28,Other,Europe,125043,17.58,1,Moderate Impact,Moderate Growth,Increased Competition,Highly Unlikely
2609,39,Female,North America,32777,7.41,0,Moderate Impact,Negative Impact,Decreased Competition,Likely
2610,58,Male,Europe,88465,6.3,8,No Impact,Moderate Growth,No Change,Highly Unlikely
2611,50,Female,Europe,103589,10.58,0,Moderate Impact,Negative Impact,Decreased Competition,Likely
2612,39,Male,Asia,196687,15.83,8,Low Impact,Moderate Growth,No Change,Likely
2613,34,Other,Asia,36415,8.28,9,Moderate Impact,Negative Impact,Decreased Competition,Highly Likely
2614,69,Male,Australia,44033,5.11,5,No Impact,Negative Impact,Decreased Competition,Highly Likely
2615,48,Other,North America,48289,2.41,11,Moderate Impact,Negative Impact,Decreased Competition,Likely
2616,29,Other,North America,29817,12.6,1,Low Impact,Negative Impact,Decreased Competition,Highly Likely
2617,53,Male,Europe,51767,29.54,17,High Impact,No Growth,Increased Competition,Highly Unlikely
2618,52,Male,Europe,188574,12.26,10,No Impact,Negative Impact,No Change,Highly Unlikely
2619,50,Female,Europe,148227,16.22,14,No Impact,Negative Impact,No Change,Highly Likely
2620,59,Male,Asia,151528,4.93,16,No Impact,Negative Impact,Decreased Competition,Unlikely
2621,22,Male,South America,161543,8.01,5,Moderate Impact,No Growth,No Change,Highly Unlikely
2622,53,Other,Australia,177456,3.04,12,Moderate Impact,Negative Impact,Increased Competition,Unlikely
2623,69,Other,Europe,177169,29.14,15,No Impact,Significant Growth,No Change,Highly Likely
2624,18,Female,Asia,67097,26.85,18,Low Impact,Negative Impact,Decreased Competition,Highly Unlikely
2625,43,Other,Australia,70910,23.24,5,Low Impact,Moderate Growth,Decreased Competition,Highly Unlikely
2626,67,Male,Asia,121964,1.89,6,High Impact,Moderate Growth,No Change,Likely
2627,51,Other,North America,195931,23.36,15,No Impact,Moderate Growth,Increased Competition,Likely
2628,26,Other,Asia,87159,29.26,2,High Impact,Significant Growth,No Change,Likely
2629,32,Other,Europe,29813,3.31,4,No Impact,Significant Growth,Increased Competition,Highly Unlikely
2630,42,Other,Europe,131921,5.66,8,No Impact,Moderate Growth,No Change,Highly Likely
2631,41,Other,South America,85975,14.44,6,No Impact,No Growth,No Change,Highly Unlikely
2632,63,Other,Asia,50848,12.62,2,Moderate Impact,No Growth,Decreased Competition,Likely
2633,59,Male,South America,51710,8.4,18,High Impact,Negative Impact,Decreased Competition,Likely
2634,27,Other,Asia,70168,6.83,0,No Impact,Negative Impact,No Change,Highly Likely
2635,44,Female,North America,135433,11.5,9,No Impact,Significant Growth,No Change,Highly Unlikely
2636,58,Other,Europe,137668,25.6,8,High Impact,No Growth,No Change,Likely
2637,50,Male,Europe,165917,5.11,6,No Impact,Significant Growth,No Change,Highly Unlikely
2638,60,Other,North America,97168,13.82,13,Moderate Impact,No Growth,No Change,Unlikely
2639,56,Other,Australia,57687,2.77,15,High Impact,Significant Growth,Increased Competition,Likely
2640,51,Other,Asia,98169,17.01,3,No Impact,Significant Growth,Increased Competition,Highly Unlikely
2641,69,Other,South America,160827,21.72,10,Moderate Impact,Significant Growth,Decreased Competition,Highly Likely
2642,65,Male,South America,180158,13.03,0,Moderate Impact,Significant Growth,Decreased Competition,Highly Likely
2643,39,Other,North America,152010,18.51,7,High Impact,Significant Growth,No Change,Highly Likely
2644,52,Other,North America,92420,20.65,19,Low Impact,No Growth,No Change,Highly Unlikely
2645,47,Female,Australia,125049,28.21,2,High Impact,Significant Growth,Decreased Competition,Highly Unlikely
2646,49,Male,Australia,34704,18.94,17,Low Impact,Negative Impact,Decreased Competition,Highly Likely
2647,66,Female,North America,45000,1.65,12,No Impact,No Growth,Decreased Competition,Highly Likely
2648,42,Male,South America,66003,11.62,8,High Impact,Significant Growth,Decreased Competition,Likely
2649,41,Male,Asia,65159,13.15,13,Moderate Impact,Negative Impact,No Change,Unlikely
2650,68,Female,Asia,56315,22.61,19,No Impact,No Growth,No Change,Unlikely
2651,58,Female,North America,45358,9.18,9,High Impact,Significant Growth,No Change,Highly Unlikely
2652,37,Other,South America,183797,22.75,17,Moderate Impact,Negative Impact,Decreased Competition,Likely
2653,60,Male,Asia,87125,16.17,6,Low Impact,Negative Impact,Increased Competition,Highly Likely
2654,42,Female,Australia,30250,12.95,8,Low Impact,No Growth,Decreased Competition,Likely
2655,18,Other,North America,102541,27.79,5,High Impact,Negative Impact,Increased Competition,Highly Likely
2656,69,Other,North America,170130,18.27,1,Moderate Impact,Negative Impact,Increased Competition,Highly Likely
2657,57,Male,Australia,62115,29.75,11,No Impact,Moderate Growth,Decreased Competition,Highly Unlikely
2658,25,Male,Europe,124957,7.32,15,Low Impact,Moderate Growth,No Change,Unlikely
2659,18,Female,Asia,199250,25.08,6,No Impact,No Growth,Increased Competition,Unlikely
2660,61,Female,South America,49060,5.24,1,No Impact,Moderate Growth,No Change,Unlikely
2661,18,Female,Australia,94760,6.19,10,Low Impact,Negative Impact,No Change,Likely
2662,50,Other,South America,107889,2.06,2,Moderate Impact,No Growth,Increased Competition,Highly Unlikely
2663,41,Other,Asia,64903,9.44,1,High Impact,No Growth,Increased Competition,Unlikely
2664,69,Female,North America,187375,23.07,19,Moderate Impact,Significant Growth,Decreased Competition,Unlikely
2665,23,Other,North America,33963,7.69,10,No Impact,Significant Growth,Increased Competition,Likely
2666,43,Female,South America,56517,24.52,18,No Impact,Significant Growth,Decreased Competition,Highly Likely
2667,65,Male,Europe,53815,22.29,17,High Impact,Moderate Growth,Increased Competition,Highly Unlikely
2668,64,Male,Europe,80459,1.21,19,No Impact,Significant Growth,Increased Competition,Highly Likely
2669,51,Other,North America,157539,6.46,14,Low Impact,Moderate Growth,Decreased Competition,Likely
2670,63,Other,South America,110824,14.6,2,High Impact,Negative Impact,No Change,Highly Likely
2671,67,Other,South America,33385,24.52,3,Moderate Impact,Significant Growth,No Change,Highly Likely
2672,42,Male,Asia,58137,2.47,15,High Impact,Moderate Growth,Decreased Competition,Highly Unlikely
2673,32,Female,North America,128052,7.69,2,No Impact,Moderate Growth,No Change,Unlikely
2674,38,Male,South America,26230,3.99,19,Moderate Impact,Moderate Growth,No Change,Highly Likely
2675,26,Female,Australia,84497,14.59,7,No Impact,Moderate Growth,Increased Competition,Highly Unlikely
2676,27,Male,Australia,59591,5.25,15,Low Impact,Negative Impact,No Change,Unlikely
2677,68,Male,Asia,37771,25.91,14,Low Impact,Significant Growth,No Change,Likely
2678,67,Other,South America,176422,20.44,9,No Impact,Negative Impact,Decreased Competition,Unlikely
2679,26,Female,Asia,170105,10.47,9,High Impact,Significant Growth,Increased Competition,Likely
2680,50,Female,Australia,56443,8.39,6,Low Impact,Significant Growth,Increased Competition,Highly Unlikely
2681,27,Male,South America,98250,5.17,7,No Impact,Negative Impact,Decreased Competition,Highly Unlikely
2682,34,Other,Australia,55432,13.9,17,Low Impact,Significant Growth,Increased Competition,Likely
2683,41,Other,Asia,114022,29.19,5,No Impact,Moderate Growth,Increased Competition,Highly Unlikely
2684,20,Female,South America,120241,8.03,0,Moderate Impact,Negative Impact,No Change,Likely
2685,22,Female,Asia,165083,27.98,3,Moderate Impact,Moderate Growth,Increased Competition,Likely
2686,63,Male,South America,68610,7.91,3,No Impact,Significant Growth,No Change,Unlikely
2687,27,Other,South America,71277,15.75,10,Moderate Impact,Negative Impact,No Change,Likely
2688,22,Female,North America,56770,25.35,3,Moderate Impact,Significant Growth,Increased Competition,Highly Likely
2689,66,Male,South America,163973,27.87,5,Moderate Impact,Negative Impact,Increased Competition,Likely
2690,28,Female,Australia,134325,21.33,14,Moderate Impact,No Growth,Increased Competition,Highly Likely
2691,57,Male,Australia,65972,7.61,0,Moderate Impact,No Growth,Increased Competition,Highly Likely
2692,45,Female,South America,144859,26.78,9,Moderate Impact,Moderate Growth,No Change,Likely
2693,60,Male,North America,117757,18.11,17,Low Impact,Negative Impact,Decreased Competition,Likely
2694,55,Male,Australia,45272,18.44,12,No Impact,No Growth,Increased Competition,Highly Likely
2695,19,Other,North America,112606,7.1,6,High Impact,Negative Impact,Decreased Competition,Highly Likely
2696,49,Other,North America,26053,10.23,3,No Impact,Moderate Growth,Increased Competition,Unlikely
2697,35,Female,Australia,98772,24.27,4,Low Impact,Negative Impact,No Change,Highly Likely
2698,34,Other,South America,104678,17.69,8,Moderate Impact,Moderate Growth,No Change,Highly Unlikely
2699,65,Male,Asia,167567,3.84,11,No Impact,Moderate Growth,Decreased Competition,Unlikely
2700,48,Male,Europe,95264,7.33,15,Moderate Impact,Negative Impact,Increased Competition,Unlikely
2701,67,Other,Asia,181189,12.71,14,Low Impact,Significant Growth,No Change,Unlikely
2702,19,Female,Europe,121674,23.96,16,Moderate Impact,Moderate Growth,Increased Competition,Unlikely
2703,59,Other,Asia,41651,3.33,6,Moderate Impact,No Growth,No Change,Highly Unlikely
2704,69,Female,South America,68990,24.9,2,No Impact,Negative Impact,No Change,Highly Unlikely
2705,43,Male,Asia,66547,2.83,1,High Impact,Moderate Growth,No Change,Unlikely
2706,19,Female,Asia,126809,18.41,3,Low Impact,No Growth,No Change,Highly Unlikely
2707,66,Male,Australia,126977,28.08,13,Moderate Impact,Significant Growth,Decreased Competition,Highly Likely
2708,47,Female,Australia,51173,1.14,15,No Impact,Significant Growth,No Change,Unlikely
2709,21,Other,Australia,144681,3.58,12,Low Impact,Significant Growth,No Change,Unlikely
2710,29,Male,Australia,47351,11.28,8,Moderate Impact,No Growth,Decreased Competition,Likely
2711,49,Male,North America,91804,15.18,2,No Impact,No Growth,Increased Competition,Unlikely
2712,53,Other,Europe,154722,9.38,3,Moderate Impact,Moderate Growth,No Change,Likely
2713,66,Male,North America,66067,7.82,13,No Impact,Moderate Growth,Increased Competition,Unlikely
2714,20,Female,South America,169768,19.53,13,High Impact,Significant Growth,No Change,Likely
2715,30,Female,North America,50300,8.15,6,Low Impact,No Growth,No Change,Highly Unlikely
2716,65,Female,Europe,86093,1.22,15,High Impact,Significant Growth,Increased Competition,Likely
2717,35,Female,North America,137162,16.3,9,Moderate Impact,No Growth,No Change,Unlikely
2718,40,Other,South America,48554,4.06,9,Moderate Impact,Moderate Growth,Decreased Competition,Highly Unlikely
2719,43,Other,Europe,134216,25.37,11,No Impact,No Growth,Decreased Competition,Unlikely
2720,60,Other,Europe,109119,6.86,2,Moderate Impact,Negative Impact,No Change,Likely
2721,64,Male,Europe,155493,28.64,12,Moderate Impact,Negative Impact,Decreased Competition,Highly Unlikely
2722,18,Other,Australia,187104,7.73,7,High Impact,Significant Growth,Decreased Competition,Highly Unlikely
2723,21,Other,North America,144348,19.94,11,High Impact,Significant Growth,No Change,Unlikely
2724,36,Female,Asia,34859,6.24,8,Moderate Impact,No Growth,Decreased Competition,Likely
2725,69,Male,Europe,77364,22.53,11,No Impact,Significant Growth,Decreased Competition,Likely
2726,69,Other,North America,149599,6.22,7,Low Impact,No Growth,Increased Competition,Highly Unlikely
2727,46,Female,North America,103114,22.62,9,No Impact,Significant Growth,Decreased Competition,Unlikely
2728,24,Male,South America,29832,14.96,18,Moderate Impact,No Growth,Decreased Competition,Likely
2729,37,Male,North America,100912,24.14,12,No Impact,No Growth,Increased Competition,Likely
2730,20,Female,Asia,32253,18.41,19,High Impact,Moderate Growth,Decreased Competition,Highly Unlikely
2731,20,Other,South America,51395,20.53,11,High Impact,Negative Impact,No Change,Highly Unlikely
2732,42,Female,Australia,56338,7.73,10,No Impact,Negative Impact,No Change,Highly Likely
2733,37,Other,North America,118612,17.02,11,Low Impact,Significant Growth,No Change,Highly Unlikely
2734,34,Male,South America,137777,29.0,9,Moderate Impact,Significant Growth,Increased Competition,Highly Likely
2735,22,Male,Europe,75201,1.67,12,No Impact,Moderate Growth,Increased Competition,Likely
2736,58,Other,North America,199205,12.35,17,Low Impact,Significant Growth,Decreased Competition,Highly Unlikely
2737,19,Female,North America,172385,8.73,18,High Impact,Negative Impact,No Change,Likely
2738,57,Female,Asia,183076,16.56,19,No Impact,Significant Growth,Decreased Competition,Highly Likely
2739,38,Male,Europe,106294,20.0,11,No Impact,Negative Impact,Decreased Competition,Highly Likely
2740,58,Male,Europe,49529,14.76,17,Low Impact,Significant Growth,No Change,Likely
2741,62,Female,Europe,117002,23.46,8,Moderate Impact,No Growth,Decreased Competition,Likely
2742,41,Other,North America,31276,6.54,15,Moderate Impact,Moderate Growth,No Change,Highly Likely
2743,62,Female,North America,74759,29.05,8,Low Impact,Moderate Growth,Increased Competition,Likely
2744,37,Female,Europe,95359,5.34,8,Moderate Impact,Negative Impact,No Change,Highly Likely
2745,40,Other,Europe,195379,20.76,11,Low Impact,Significant Growth,No Change,Unlikely
2746,59,Male,South America,146320,28.62,14,Moderate Impact,No Growth,Increased Competition,Highly Likely
2747,54,Other,North America,90329,14.07,2,Low Impact,No Growth,Decreased Competition,Highly Likely
2748,33,Male,Asia,99110,17.94,4,No Impact,Negative Impact,Increased Competition,Likely
2749,52,Other,Asia,162644,11.17,6,No Impact,No Growth,Increased Competition,Likely
2750,52,Female,Europe,156092,22.1,6,No Impact,Negative Impact,Increased Competition,Likely
2751,52,Male,Australia,63803,21.07,10,No Impact,Negative Impact,Increased Competition,Likely
2752,68,Other,Europe,129246,14.76,0,Low Impact,Moderate Growth,Increased Competition,Highly Likely
2753,42,Female,Australia,106658,11.84,3,No Impact,Significant Growth,No Change,Unlikely
2754,46,Male,Asia,48135,16.33,5,No Impact,Moderate Growth,Decreased Competition,Highly Unlikely
2755,55,Female,North America,58827,3.0,18,Moderate Impact,No Growth,No Change,Highly Likely
2756,64,Female,Europe,85590,13.22,9,Low Impact,Moderate Growth,Increased Competition,Unlikely
2757,43,Female,South America,132893,9.17,8,No Impact,Moderate Growth,No Change,Unlikely
2758,18,Male,South America,101140,15.83,1,No Impact,Negative Impact,Decreased Competition,Likely
2759,28,Other,Asia,125788,26.39,11,Moderate Impact,Moderate Growth,Decreased Competition,Highly Unlikely
2760,49,Female,South America,71998,27.57,0,Moderate Impact,No Growth,Decreased Competition,Highly Likely
2761,26,Female,Australia,181954,22.96,8,Moderate Impact,Significant Growth,Increased Competition,Likely
2762,68,Other,North America,185463,22.71,14,Low Impact,Moderate Growth,No Change,Highly Likely
2763,29,Female,Asia,130100,2.52,7,Moderate Impact,No Growth,Decreased Competition,Highly Unlikely
2764,60,Female,Europe,121470,5.91,10,Moderate Impact,No Growth,No Change,Likely
2765,52,Female,Australia,43261,12.08,5,Low Impact,No Growth,Increased Competition,Highly Unlikely
2766,63,Other,Australia,116911,3.12,8,High Impact,Moderate Growth,No Change,Likely
2767,65,Male,Europe,195903,12.79,10,Low Impact,Moderate Growth,No Change,Unlikely
2768,54,Other,Australia,86166,21.44,1,No Impact,Moderate Growth,No Change,Highly Unlikely
2769,50,Male,North America,83459,10.73,6,No Impact,Significant Growth,Increased Competition,Likely
2770,43,Female,Europe,171640,4.77,11,No Impact,Significant Growth,No Change,Highly Unlikely
2771,23,Male,Asia,192383,15.27,2,Low Impact,No Growth,No Change,Highly Likely
2772,20,Female,Asia,27142,5.06,5,High Impact,Negative Impact,Decreased Competition,Likely
2773,21,Other,South America,26806,26.91,2,Low Impact,Significant Growth,Increased Competition,Unlikely
2774,33,Other,South America,196318,6.57,2,Moderate Impact,Negative Impact,Decreased Competition,Highly Unlikely
2775,36,Male,South America,159553,26.53,8,Moderate Impact,Significant Growth,Increased Competition,Highly Likely
2776,35,Other,North America,99674,20.72,17,Moderate Impact,Significant Growth,No Change,Highly Unlikely
2777,32,Female,North America,89614,21.58,16,Low Impact,Significant Growth,Decreased Competition,Unlikely
2778,22,Male,Australia,159037,29.22,5,Low Impact,Negative Impact,Increased Competition,Highly Unlikely
2779,61,Female,North America,89042,12.16,8,Moderate Impact,Moderate Growth,Decreased Competition,Highly Likely
2780,64,Male,South America,161893,15.47,18,Low Impact,Significant Growth,No Change,Unlikely
2781,57,Other,Asia,162641,18.02,10,High Impact,Negative Impact,Increased Competition,Likely
2782,27,Female,Europe,30957,6.93,9,No Impact,Moderate Growth,Increased Competition,Highly Likely
2783,22,Other,North America,196896,29.65,3,High Impact,Significant Growth,Increased Competition,Highly Likely
2784,57,Female,Australia,184827,17.66,19,High Impact,Moderate Growth,Increased Competition,Highly Unlikely
2785,50,Male,North America,188203,2.28,3,Low Impact,Moderate Growth,Increased Competition,Unlikely
2786,36,Male,Europe,148409,14.8,5,No Impact,Negative Impact,Increased Competition,Likely
2787,35,Other,North America,39282,21.04,3,Low Impact,Significant Growth,No Change,Highly Likely
2788,27,Other,North America,73197,29.85,3,No Impact,Negative Impact,Increased Competition,Highly Likely
2789,24,Female,South America,63886,16.04,17,Low Impact,Significant Growth,Decreased Competition,Highly Unlikely
2790,53,Female,Europe,139127,5.33,17,Low Impact,Negative Impact,Increased Competition,Unlikely
2791,36,Male,Europe,92427,15.8,0,High Impact,No Growth,Increased Competition,Highly Likely
2792,46,Female,Australia,58481,10.17,19,High Impact,Negative Impact,Decreased Competition,Highly Unlikely
2793,39,Other,North America,86180,6.86,9,High Impact,Negative Impact,Decreased Competition,Highly Unlikely
2794,38,Male,Asia,58724,1.7,7,Moderate Impact,No Growth,Increased Competition,Unlikely
2795,29,Male,South America,113950,16.27,2,Low Impact,No Growth,Decreased Competition,Likely
2796,69,Other,North America,182456,25.06,0,No Impact,No Growth,Decreased Competition,Highly Likely
2797,59,Other,Asia,44487,2.88,7,No Impact,Negative Impact,No Change,Highly Unlikely
2798,29,Female,Europe,99242,25.54,3,No Impact,Moderate Growth,No Change,Highly Unlikely
2799,21,Male,North America,51022,21.34,9,Moderate Impact,Significant Growth,Decreased Competition,Highly Likely
2800,26,Other,Asia,100749,10.59,0,High Impact,Negative Impact,No Change,Highly Likely
2801,27,Male,Europe,34559,11.28,2,High Impact,Moderate Growth,No Change,Highly Unlikely
2802,24,Male,Australia,178901,19.15,7,Moderate Impact,Moderate Growth,Decreased Competition,Highly Likely
2803,27,Female,South America,162937,25.88,10,Low Impact,Moderate Growth,No Change,Highly Likely
2804,35,Other,South America,120062,2.65,16,No Impact,Moderate Growth,Increased Competition,Highly Unlikely
2805,51,Female,Europe,26779,1.2,11,No Impact,Moderate Growth,No Change,Likely
2806,38,Female,North America,170125,19.9,16,No Impact,Negative Impact,Decreased Competition,Highly Unlikely
2807,18,Other,Europe,129650,7.46,8,Moderate Impact,No Growth,Decreased Competition,Likely
2808,63,Female,Asia,40791,12.13,18,Moderate Impact,Significant Growth,Decreased Competition,Highly Unlikely
2809,61,Other,Asia,86189,15.28,19,No Impact,Significant Growth,Increased Competition,Likely
2810,24,Male,Asia,56171,22.98,4,High Impact,Negative Impact,Increased Competition,Likely
2811,50,Male,Australia,87979,13.47,18,High Impact,No Growth,No Change,Highly Likely
2812,48,Male,Asia,51554,15.0,7,Low Impact,No Growth,Decreased Competition,Highly Unlikely
2813,29,Female,Asia,91360,27.18,4,High Impact,No Growth,Decreased Competition,Unlikely
2814,62,Male,South America,159949,18.27,14,High Impact,Significant Growth,Decreased Competition,Unlikely
2815,47,Other,Australia,116207,24.96,12,No Impact,No Growth,Decreased Competition,Highly Likely
2816,47,Other,North America,157885,25.85,17,Low Impact,Negative Impact,Decreased Competition,Unlikely
2817,50,Other,North America,142435,24.0,14,Moderate Impact,No Growth,Decreased Competition,Highly Likely
2818,67,Female,North America,27191,6.97,14,Low Impact,No Growth,Decreased Competition,Unlikely
2819,55,Male,South America,127892,3.57,12,No Impact,Moderate Growth,Increased Competition,Likely
2820,30,Other,Australia,30025,9.82,2,Moderate Impact,No Growth,Increased Competition,Unlikely
2821,32,Male,North America,129343,27.59,12,No Impact,Negative Impact,Decreased Competition,Highly Likely
2822,18,Female,Asia,184609,15.93,0,No Impact,Negative Impact,Increased Competition,Likely
2823,68,Other,Asia,38973,3.52,12,No Impact,No Growth,No Change,Unlikely
2824,35,Other,Australia,33100,3.23,6,No Impact,Significant Growth,Increased Competition,Highly Unlikely
2825,38,Female,South America,103763,29.94,10,Low Impact,No Growth,Increased Competition,Likely
2826,54,Male,Europe,41501,28.68,12,High Impact,Moderate Growth,Decreased Competition,Highly Unlikely
2827,23,Male,Asia,68242,4.38,5,Moderate Impact,No Growth,Increased Competition,Likely
2828,49,Other,Europe,57995,19.93,17,Moderate Impact,Negative Impact,Decreased Competition,Unlikely
2829,36,Female,Australia,165753,18.88,4,Low Impact,Moderate Growth,Decreased Competition,Highly Likely
2830,38,Female,Europe,100017,29.22,4,Moderate Impact,Moderate Growth,Increased Competition,Likely
2831,50,Male,North America,167164,19.83,16,High Impact,Significant Growth,Increased Competition,Highly Likely
2832,33,Female,Europe,62646,9.99,0,Moderate Impact,Negative Impact,No Change,Likely
2833,38,Other,South America,89826,13.01,15,High Impact,Moderate Growth,Increased Competition,Highly Likely
2834,63,Male,Asia,60000,27.49,4,No Impact,No Growth,Decreased Competition,Highly Unlikely
2835,56,Male,Europe,118876,11.71,10,High Impact,Negative Impact,Increased Competition,Highly Likely
2836,46,Female,Europe,105893,6.15,5,High Impact,Significant Growth,No Change,Unlikely
2837,52,Other,Australia,47883,17.74,4,Low Impact,Significant Growth,Decreased Competition,Likely
2838,45,Female,South America,52852,23.29,1,High Impact,Moderate Growth,No Change,Highly Unlikely
2839,53,Female,South America,173801,27.08,5,Moderate Impact,Significant Growth,Decreased Competition,Highly Likely
2840,61,Male,Europe,89328,25.84,18,Low Impact,No Growth,Decreased Competition,Unlikely
2841,35,Female,North America,76209,14.79,7,Moderate Impact,Moderate Growth,Increased Competition,Unlikely
2842,43,Female,Asia,160049,10.96,0,High Impact,No Growth,Decreased Competition,Likely
2843,30,Male,Australia,105659,15.43,16,Moderate Impact,No Growth,Increased Competition,Highly Unlikely
2844,65,Female,Asia,100428,18.31,12,Moderate Impact,No Growth,Decreased Competition,Unlikely
2845,18,Other,Australia,188037,5.39,5,Low Impact,Moderate Growth,No Change,Highly Likely
2846,50,Female,Asia,161581,23.96,9,Moderate Impact,Significant Growth,No Change,Highly Likely
2847,53,Other,Asia,97144,22.77,10,Low Impact,Negative Impact,Decreased Competition,Highly Unlikely
2848,29,Other,South America,85650,26.57,10,No Impact,Significant Growth,Increased Competition,Highly Unlikely
2849,62,Male,South America,40485,1.75,11,No Impact,Significant Growth,Decreased Competition,Likely
2850,46,Other,South America,128439,26.06,2,Moderate Impact,No Growth,Increased Competition,Likely
2851,20,Female,North America,171835,24.76,5,Low Impact,No Growth,No Change,Likely
2852,26,Male,North America,76382,3.57,2,High Impact,No Growth,No Change,Unlikely
2853,45,Female,Asia,92638,19.07,7,No Impact,Moderate Growth,Decreased Competition,Unlikely
2854,47,Female,North America,188858,25.09,6,High Impact,Negative Impact,Increased Competition,Likely
2855,25,Other,South America,89510,6.78,12,No Impact,Negative Impact,Increased Competition,Likely
2856,46,Female,Europe,137587,18.33,9,High Impact,Negative Impact,Decreased Competition,Likely
2857,27,Female,North America,183136,22.07,9,Moderate Impact,Moderate Growth,No Change,Highly Likely
2858,57,Male,North America,80781,17.41,13,High Impact,Significant Growth,No Change,Highly Likely
2859,19,Female,North America,173703,1.22,0,No Impact,Negative Impact,Decreased Competition,Likely
2860,43,Male,South America,52591,4.25,2,No Impact,Negative Impact,Decreased Competition,Likely
2861,22,Other,North America,133739,11.73,6,Moderate Impact,Significant Growth,Increased Competition,Likely
2862,66,Female,Australia,61174,26.8,15,High Impact,Negative Impact,Increased Competition,Highly Unlikely
2863,37,Male,Asia,171520,6.2,7,No Impact,Significant Growth,Increased Competition,Highly Unlikely
2864,56,Other,Australia,193065,24.29,1,No Impact,Significant Growth,Decreased Competition,Highly Unlikely
2865,41,Male,North America,174757,18.35,5,Moderate Impact,Significant Growth,No Change,Unlikely
2866,57,Other,North America,87410,15.88,13,Moderate Impact,Negative Impact,Decreased Competition,Highly Likely
2867,65,Female,Australia,85633,13.95,13,High Impact,Significant Growth,No Change,Highly Unlikely
2868,25,Female,Asia,82720,8.96,4,No Impact,Moderate Growth,No Change,Highly Unlikely
2869,43,Other,Europe,80799,6.88,8,No Impact,Negative Impact,No Change,Likely
2870,20,Female,Europe,158082,26.39,5,High Impact,Negative Impact,No Change,Highly Unlikely
2871,55,Female,South America,180738,13.21,7,High Impact,No Growth,Increased Competition,Unlikely
2872,21,Other,Asia,45702,13.14,9,High Impact,No Growth,Decreased Competition,Highly Likely
2873,32,Male,Australia,49609,28.64,15,High Impact,Negative Impact,No Change,Unlikely
2874,63,Male,Europe,167524,4.23,4,No Impact,No Growth,No Change,Unlikely
2875,32,Other,Australia,25899,4.26,2,High Impact,Moderate Growth,Decreased Competition,Highly Likely
2876,35,Other,North America,178533,3.0,16,No Impact,Negative Impact,Increased Competition,Unlikely
2877,23,Other,Australia,176106,20.17,3,Moderate Impact,No Growth,Decreased Competition,Highly Unlikely
2878,53,Female,North America,79029,28.39,5,No Impact,Negative Impact,Increased Competition,Highly Unlikely
2879,35,Other,North America,90669,16.17,6,Low Impact,No Growth,Increased Competition,Highly Likely
2880,29,Other,Australia,40910,12.43,15,No Impact,No Growth,No Change,Highly Unlikely
2881,42,Other,Asia,30431,1.57,0,No Impact,Significant Growth,Decreased Competition,Highly Unlikely
2882,25,Other,Asia,109035,3.98,17,No Impact,Moderate Growth,Decreased Competition,Unlikely
2883,40,Female,Europe,140995,12.59,10,High Impact,No Growth,No Change,Unlikely
2884,64,Female,Europe,103346,19.34,18,High Impact,No Growth,Decreased Competition,Highly Likely
2885,69,Female,North America,199447,6.78,2,Moderate Impact,No Growth,Increased Competition,Unlikely
2886,27,Female,South America,157121,10.08,15,Moderate Impact,Negative Impact,Increased Competition,Unlikely
2887,59,Other,Australia,194566,4.1,16,Moderate Impact,Negative Impact,Decreased Competition,Likely
2888,55,Other,Australia,127110,28.66,4,Low Impact,Negative Impact,No Change,Highly Likely
2889,52,Female,Asia,104751,3.8,17,Moderate Impact,Negative Impact,No Change,Highly Likely
2890,52,Female,Asia,106589,4.87,17,Low Impact,Significant Growth,No Change,Likely
2891,28,Male,Asia,195888,2.4,18,No Impact,Negative Impact,Decreased Competition,Unlikely
2892,26,Female,Europe,175255,7.71,11,Moderate Impact,Significant Growth,No Change,Likely
2893,61,Other,North America,66857,19.52,4,Moderate Impact,Negative Impact,Decreased Competition,Highly Likely
2894,53,Male,North America,64616,13.42,8,No Impact,Moderate Growth,Increased Competition,Highly Likely
2895,18,Female,South America,27093,2.52,8,Moderate Impact,Negative Impact,Increased Competition,Unlikely
2896,40,Female,North America,199508,4.12,11,High Impact,Significant Growth,Increased Competition,Unlikely
2897,54,Other,South America,157259,26.69,8,No Impact,Negative Impact,Increased Competition,Highly Likely
2898,36,Female,Australia,26420,11.49,8,No Impact,Negative Impact,Decreased Competition,Highly Likely
2899,20,Female,Australia,47872,2.68,11,Moderate Impact,No Growth,Increased Competition,Highly Likely
2900,61,Other,North America,152593,15.25,17,Moderate Impact,Moderate Growth,Decreased Competition,Highly Likely
2901,21,Other,North America,64006,28.4,19,High Impact,Significant Growth,No Change,Unlikely
2902,66,Male,South America,183788,11.87,13,High Impact,Significant Growth,Decreased Competition,Likely
2903,38,Other,North America,98676,18.63,3,No Impact,Significant Growth,Decreased Competition,Highly Unlikely
2904,20,Other,Asia,188674,20.22,5,No Impact,No Growth,Decreased Competition,Likely
2905,47,Other,South America,191201,27.94,5,Moderate Impact,Negative Impact,Increased Competition,Highly Unlikely
2906,25,Other,South America,177665,9.35,11,No Impact,Moderate Growth,No Change,Highly Likely
